fips,county,state,location,population
13181,Lincoln,Georgia,Georgia-Lincoln,7996
13183,Long,Georgia,Georgia-Long,14464
13185,Lowndes,Georgia,Georgia-Lowndes,109233
13187,Lumpkin,Georgia,Georgia-Lumpkin,29966
13189,McDuffie,Georgia,Georgia-McDuffie,21875
13191,McIntosh,Georgia,Georgia-McIntosh,14333
13193,Macon,Georgia,Georgia-Macon,14740
13195,Madison,Georgia,Georgia-Madison,28120
13197,Marion,Georgia,Georgia-Marion,8742
13199,Meriwether,Georgia,Georgia-Meriwether,21992
13201,Miller,Georgia,Georgia-Miller,6125
13205,Mitchell,Georgia,Georgia-Mitchell,23498
13207,Monroe,Georgia,Georgia-Monroe,26424
13209,Montgomery,Georgia,Georgia-Montgomery,9123
13211,Morgan,Georgia,Georgia-Morgan,17868
13213,Murray,Georgia,Georgia-Murray,39628
13215,Muscogee,Georgia,Georgia-Muscogee,189885
13217,Newton,Georgia,Georgia-Newton,99958
13219,Oconee,Georgia,Georgia-Oconee,32808
13221,Oglethorpe,Georgia,Georgia-Oglethorpe,14899
13223,Paulding,Georgia,Georgia-Paulding,142324
13225,Peach,Georgia,Georgia-Peach,27695
13227,Pickens,Georgia,Georgia-Pickens,29431
13229,Pierce,Georgia,Georgia-Pierce,18758
13231,Pike,Georgia,Georgia-Pike,17869
13233,Polk,Georgia,Georgia-Polk,41475
13235,Pulaski,Georgia,Georgia-Pulaski,12010
13237,Putnam,Georgia,Georgia-Putnam,21218
13239,Quitman,Georgia,Georgia-Quitman,2513
13241,Rabun,Georgia,Georgia-Rabun,16276
13243,Randolph,Georgia,Georgia-Randolph,7719
13245,Richmond,Georgia,Georgia-Richmond,200549
13247,Rockdale,Georgia,Georgia-Rockdale,85215
13249,Schley,Georgia,Georgia-Schley,5010
13251,Screven,Georgia,Georgia-Screven,14593
13253,Seminole,Georgia,Georgia-Seminole,8729
13255,Spalding,Georgia,Georgia-Spalding,64073
13257,Stephens,Georgia,Georgia-Stephens,26175
13259,Stewart,Georgia,Georgia-Stewart,6058
13261,Sumter,Georgia,Georgia-Sumter,32819
13263,Talbot,Georgia,Georgia-Talbot,6865
13265,Taliaferro,Georgia,Georgia-Taliaferro,1717
13267,Tattnall,Georgia,Georgia-Tattnall,25520
13269,Taylor,Georgia,Georgia-Taylor,8906
13271,Telfair,Georgia,Georgia-Telfair,16500
13273,Terrell,Georgia,Georgia-Terrell,9315
13275,Thomas,Georgia,Georgia-Thomas,44720
